		2021-12-28	Wtorek	Siłownia	90											Nogi + rehabilitacja
		2021-12-29	Środa	Siłownia	15											Rehab - dynamika		
		2021-12-29	Środa	Bieganie	50	20	142	164					214	05:56	8.5	Rehabilitacja - trucht pod kopiec		
		2022-01-02	Niedziela	Siłownia	20											Rehab	30.12 Szymek trafił do szpitala	
		2022-01-02	Niedziela	Bieganie	45		159	166					7	05:11	8.3	Rehabilitacja - trucht	Tętno ze stresu, za szybko biegłem	
		2022-01-03	Poniedziałek	Siłownia	45											Ręce + core	Rehabilitacja #32
		2022-01-04	Wtorek	Siłownia	10											Rehab - dynamika		
		2022-01-04	Wtorek	Bieganie	50		141	149					6	05:43	8.2	Rehab-trucht		
		2022-01-05	Środa	Siłownia	90											Nogi + rehab		
		2022-01-06	Czwartek	Siłownia	10											Rehab - dynamika		
		2022-01-06	Czwartek	Bieganie	55		143	168					189	06:07	8.5	Rehab-trucht-trail	Mocno czuję stopę cały bieg	
		2022-01-07	Piątek	Siłownia	85											Ręce + core + rehab		
		2022-01-08	Sobota	Siłownia	35											Rehab		
		2022-01-09	Niedziela	Bieganie	45		137	145					6	05:54	7.5	Rehab-trucht	Mocno czuję stopę cały bieg	
		2022-01-10	Poniedziałek	Siłownia	90											Nogi + rehab
		2022-01-11	Wtorek	Bieganie	60	120	149	173					216	05:57	9.1	Rehab-trucht-trail	Czuję głównie z zewnętrznej strony	
		2022-01-13	Czwartek	Skitury	125	15	162	177					1634		13,5	Kasina razy 6	Po 3 zjazdach juz mocno czuję stopę, potem po krótkim wyjęciu nogi z buta jest zdecydowanie lepiej. Przy zjazdach prawie nie czuję stopy. Po skiturach na drugi dzień zadziwiająco dobrze	
		2022-01-14	Piątek	Siłownia	80	10										Ręce + core + rehab		
		2022-01-15	Sobota	Skitury	120	15	139	175					1337		9.9	Myślenice x 6	Całkiem nieźle ze stopą jak na tylko jeden dzień przerwy, przy zjazdach nic nie czuję, po skiturach gorzej niż ostatnio	
		2022-01-16	Niedziela	Bieganie	65		130	138					10	05:54	8.8	Rehab-trucht + dynamika	Czuję bardziej zewnętrzną stronę, dopiero pod koniec czuję przy kostce pieczenie, dużo niższe tętno	
		2022-01-17	Poniedziałek	Siłownia	90											Nogi + rehab
