0 | 2023-01-02T01:00:00 | Run | bs 3km+ rytmy (najlepiej stadion) 4x200/200+ 2x400(tempo 3.10-20)/400 w truchcie+1x800(tempo 3.20-25)/400 w truchcie+2x400/400+2-4x200/200+2km schłodzenia, REHABILITACJA - pachwina | 60 | 90 | 149 | 179 | 0 | 0 | 0 | 0 | 0 | 7 | 3.597 | 11400 | Bardzo wysokie tętno, ale trzymam tempo, 200m w 35s, 400m w 1:16
0 | 2023-01-03T01:00:00 | WeightTraining | Nogi + ręce + łydki | 80 | 130 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
0 | 2023-01-04T01:00:00 | Run | Kopiec x 7 | 90 | 30 | 154 | 172 | 0 | 0 | 0 | 0 | 0 | 525 | 3.039 | 10400 | Z kostką dzisiaj bardzo dobrze, czuję prawego Achillesa 
0 | 2023-01-05T01:00:00 | WeightTraining | Nogi + ręce + core + łydki | 80 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
0 | 2023-01-07T01:00:00 | Run | BS 3km+6km w II zakresie+1km truchtu | 55 | 40 | 151 | 164 | 0 | 0 | 0 | 0 | 0 | 10 | 3.663 | 10700 | Nie czuję już stopy, czuję prawego Achillesa, cały czas czuję biodro 
0 | 2023-01-08T01:00:00 | AlpineSki | Myślenice x 11 | 45 | 60 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 11200 | 
0 | 2023-01-09T01:00:00 | Run | Kopiec x 4 | 70 | 90 | 147 | 168 | 0 | 0 | 0 | 0 | 0 | 300 | 2.994 | 8500 | Czuję prawego Achillesa, REHABILITACJA - biodro
0 | 2023-01-09T02:00:00 | WeightTraining | Nogi + ręce | 60 | 120 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
0 | 2023-01-11T01:00:00 | BackcountrySki | Kasprowy x 2 z Anią | 270 | 130 | 126 | 166 | 0 | 0 | 0 | 0 | 0 | 1532 | 0 | 20800 | lekko czuję prawego Achillesa
0 | 2023-01-12T01:00:00 | WeightTraining | Dynamika | 30 | 60 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | dalej lekko czuję prawego Achillesa, odpuściłem bieganie, REHABILITACJA - biodro
